idRuta,rutaDirection,estNumber,estId
27,A,54,3194
27,A,55,2547
27,A,56,4068
27,A,57,4070
27,A,58,2349
27,A,59,2670
27,A,60,2477
27,A,61,2630
27,A,62,2854
27,A,63,1941
27,A,64,1942
27,A,65,1657
27,A,66,1658
27,A,67,1659
27,A,68,1660
27,A,69,1661
27,A,70,1662
27,A,71,4019
27,A,72,4020
27,A,73,4021
27,A,74,4022
27,A,75,3516
27,A,76,1666
27,A,77,1667
27,B,1,7750
27,B,2,354
27,B,3,356
27,B,4,2804
27,B,5,2805
27,B,6,2806
27,B,7,2044
27,B,8,2045
27,B,9,2046
27,B,10,2047
27,B,11,2441
27,B,12,2807
27,B,13,2808
27,B,14,2809
27,B,15,4289
27,B,16,4286
27,B,17,2908
27,B,18,868
27,B,19,870
27,B,20,872
27,B,21,874
27,B,22,876
27,B,23,878
27,B,24,880
27,B,25,882
27,B,26,884
27,B,27,886
27,B,28,887
27,B,29,888
27,B,30,889
27,B,31,890
27,B,32,891
27,B,33,892
27,B,34,894
27,B,35,896
27,B,36,899
27,B,37,902
27,B,38,905
27,B,39,908
27,B,40,910
27,B,41,912
27,B,42,914
27,B,43,916
27,B,44,918
27,B,45,920
27,B,46,1510
27,B,47,1511
27,B,48,1000
27,B,49,3580
27,B,50,3577
27,B,51,4753
27,B,52,3574
27,B,53,3570
27,B,54,3194
27,B,55,2547
27,B,56,4068
27,B,57,4070
27,B,58,2349
27,B,59,2670
27,B,60,2477
27,B,61,2630
27,B,62,2854
27,B,63,1941
27,B,64,1942
27,B,65,1657
27,B,66,1658
27,B,67,1659
27,B,68,1660
27,B,69,1661
27,B,70,1662
27,B,71,4019
27,B,72,4020
27,B,73,4021
27,B,74,4022
27,B,75,3516
27,B,76,1666
27,B,77,1667
388,,0,7691
388,,1,7690
388,,2,7689
388,,3,7688
388,,4,7683
388,,5,7681
388,,6,7678
388,,7,7657
388,,8,7655
388,,9,7714
388,,10,7715
388,,11,7716
388,,12,7718
388,,13,7719
388,,14,7721
388,,15,7722
388,,16,7723
363,,0,7633
363,,1,7632
363,,2,7631
363,,3,7630
363,,4,7625
363,,5,7621
363,,6,7603
363,,7,7604
363,,8,7605
363,,9,7606
363,,10,7612
