idRuta,tipoRuta,codigoRuta,rutaNombre,rutaLink
187,8,E70,Casaloma Usme - Colina,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=187&tr=&estacion=&tipoRuta=8
188,8,E72,Catalina II - Chicó Norte,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=188&tr=&estacion=&tipoRuta=8
650,8,N04A,Puente de Guadua- Germania,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=650&tr=&estacion=&tipoRuta=8
649,8,N04B,Bosa San José - Restrepo,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=649&tr=&estacion=&tipoRuta=8
189,8,P23,Bosa Carbonell - San Blas,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=189&tr=&estacion=&tipoRuta=8
190,8,P3,Canada Guira - San Bernardino Potreritos,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=190&tr=&estacion=&tipoRuta=8
191,8,P39,Arabia - Zona Franca,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=191&tr=&estacion=&tipoRuta=8
192,8,P44,Bosa Santafé - Arabia,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=192&tr=&estacion=&tipoRuta=8
193,8,P49,Villa Gladys - Lijacá,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=193&tr=&estacion=&tipoRuta=8
194,8,P500,Aeropueto - Centro Andino,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=194&tr=&estacion=&tipoRuta=8
195,8,P51,Nogales de Tibabuyes - Caracolí,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=195&tr=&estacion=&tipoRuta=8
197,8,P62,Bosa Santafé - Los Alpes,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=197&tr=&estacion=&tipoRuta=8
198,8,P7,Porvenir - Pinares,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=198&tr=&estacion=&tipoRuta=8
199,8,SE10,Engativá Centro - Germania,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=199&tr=&estacion=&tipoRuta=8
200,8,SE14,Diana Turbay Cultivos - Engativá Centro,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=200&tr=&estacion=&tipoRuta=8
201,8,SE6,Villa Gladys - La Roca,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=201&tr=&estacion=&tipoRuta=8
202,8,T04,Tres Esquinas - Portal del Sur,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=202&tr=&estacion=&tipoRuta=8
203,8,T06,La Sureña - Porciúncula,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=203&tr=&estacion=&tipoRuta=8
204,8,T09,Chorrillos - Portal de Suba,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=204&tr=&estacion=&tipoRuta=8
205,8,T11,Calle 222 - Alpes,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=205&tr=&estacion=&tipoRuta=8
206,8,T12,Quintas del Sur - Porciúncula - Av. Chile,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=206&tr=&estacion=&tipoRuta=8
207,8,T13,Villa Cindy - Hsp. San Blas,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=207&tr=&estacion=&tipoRuta=8
639,8,T16,El Refugio - La Perseverancia,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=639&tr=&estacion=&tipoRuta=8
208,8,T163,Perdomo - Calle 222,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=208&tr=&estacion=&tipoRuta=8
209,8,T21,Compartir - Cantón Norte,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=209&tr=&estacion=&tipoRuta=8
210,8,T23,Fontanar del Río - Centro,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=210&tr=&estacion=&tipoRuta=8
211,8,T24,San Bernardino Potreritos - San Felipe,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=211&tr=&estacion=&tipoRuta=8
212,8,T25,Potosí - Lijacá,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=212&tr=&estacion=&tipoRuta=8
213,8,T26,Palermo Sur - Unicentro,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=213&tr=&estacion=&tipoRuta=8
214,8,T27,Est. AV. 1&#65533; de Mayo,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=214&tr=&estacion=&tipoRuta=8
638,8,T30,Doña Liliana - Patio Bonito,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=638&tr=&estacion=&tipoRuta=8
215,8,T31,Gran Granada - Germania,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=215&tr=&estacion=&tipoRuta=8
216,8,T37,Fontanar del Río - Germania,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=216&tr=&estacion=&tipoRuta=8
217,8,T38,Metrovivienda - Chapinero Central,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=217&tr=&estacion=&tipoRuta=8
218,8,T40,Catalina II - Marly,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=218&tr=&estacion=&tipoRuta=8
219,8,T43,La Castaña - Perseverancia,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=219&tr=&estacion=&tipoRuta=8
644,8,T48,Nueva Castilla - Puente Aranda,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=644&tr=&estacion=&tipoRuta=8
220,8,TC11,Madelena - General Santander,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=220&tr=&estacion=&tipoRuta=8
221,8,TC14,Nueva Roma - Portal Sur,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=221&tr=&estacion=&tipoRuta=8
222,8,TC15,Diana Turbay Cultivos - General Santander,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=222&tr=&estacion=&tipoRuta=8
640,8,TC16,Bolonia - La Aurora,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=640&tr=&estacion=&tipoRuta=8
223,8,TC2,Divino Niño,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=223&tr=&estacion=&tipoRuta=8
224,8,TC6,El Refugio - Portal Eldorado,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=224&tr=&estacion=&tipoRuta=8
225,8,Z12,Teusaquillo - Metrovivienda,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=225&tr=&estacion=&tipoRuta=8
226,8,Z13,San Cristóbal Norte - Metrovivienda,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=226&tr=&estacion=&tipoRuta=8
227,8,Z4,Toberín - Metrovivienda,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=227&tr=&estacion=&tipoRuta=8
228,8,Z7,Toberín -Zn. Ind. álamos,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=228&tr=&estacion=&tipoRuta=8
229,8,Z8,San Cristóbal Nte. - Metrovivienda,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=229&tr=&estacion=&tipoRuta=8
249,9,13-5,Las Paces,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=249&tr=&estacion=&tipoRuta=9
636,9,14-1,Las Cruces,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=rutaZonal&idRuta=636&tr=&estacion=&tipoRuta=9
