estId,estSITPNumber,estNombre,estDireccion,estLink,estlongtitude,estlatitude
2538,043A03,Sabana de Tibabuyes,AV. Suba - KR 98B,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2538,"-74,090963","4,742127"
2400,564A03,Las Flores,AV. Suba - KR 96,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2400,"-74,088529","4,740212"
1930,208A03,Br. Niza Suba,AV. Suba - KR 77,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=1930,"-74,077182","4,732813"
1931,179A03,Estación Gratamira,AV. Suba - CL 132A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=1931,"-74,074916","4,726776"
1075,003B03,Pq. Alto de los Lagartos,AV. Boyac&aacute; - AC 127,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=1075,"-74,080582","4,709209"
1077,587B03,Club Los Lagartos,AV. Boyac&aacute; - CL 119,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=1077,"-74,081822","4,706733"
1079,200B03,Club Los Lagartos,AV. Boyac&aacute; - AC 116,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=1079,"-74,081822","4,700533"
1081,083B03,Club Los Lagartos,AV. Boyac&aacute; - CL 96A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=1081,"-74,082759","4,697705"
1083,106B04,Makro Calle 80,AV. Boyac&aacute; - CL 81B,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=1083,"-74,087047","4,69627"
1085,107B04,Br. Santa María,AV. Boyac&aacute; - CL 77A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=1085,"-74,091377","4,693469"
